Names,Storage,Prices,Conditions,Cities,Areas
Onescreen,TL7,44737,Brand New,Greater Accra,Spintex
Laptop Lenovo 8GB Intel Core i5,SSD,2600,Used,Greater Accra,Tema Metropolitan
HP Big,Pin,60,Brand New,Greater Accra,Kokomlemle
New Desktop Computer Asus M32BF 64GB Intel Core I9,HDD+SSD,36000,Brand New,Greater Accra,Accra Metropolitan
New Laptop Asus S46CA 16GB Intel Core I7,SSD,11500,Brand New,Greater Accra,Kokomlemle
Desktop Computer Dell Inspiron 3000 4GB Intel Pentium,HDD,1800,Used,Greater Accra,Adabraka
Laptop Dell Latitude E7450 8GB Intel Core I5,SSD,3000,Used,Greater Accra,Achimota
Teamgroup M.2 1TB Solid State,Drive,1087,Brand New,Greater Accra,Kokomlemle
Laptop Asus N56JR 8GB Intel Core I7,HDD,3699,Used,Western Region,Shama Ahanta East Metropolitan
New Laptop HP Pavilion 15 16GB Intel Core I7,SSD,12158,Brand New,Ashanti,Kumasi Metropolitan
Original Xhorse VVDI Key Tool,Plus,26500,Brand New,Greater Accra,Tema Metropolitan
5g/4g/3g,Universal,600,Unknown,Greater Accra,Ashaiman Municipal
"Ruban 3in1 Bundle for Macbook 13"" (Models:",A1502,550,Brand New,Greater Accra,Lapaz
New Laptop Acer Aspire E5-576g 8GB Intel Core I5,HDD,4200,Brand New,Greater Accra,Spintex
Stainless Steel Foldable,Laptop,99,Brand New,Greater Accra,Adenta
New Laptop Dell Inspiron 14 7000 8GB Intel Core I7 SSHD,(Hybrid),9900,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer Apple iMac 24GB Intel Core I7,SSD,7500,Used,Greater Accra,Tema Metropolitan
New Desktop Computer Gigabyte GB-BACE-3010 8GB Intel Core,I7,12500,Brand New,Greater Accra,Labadi
Wireless Wifi,Unknown,45,Unknown,Greater Accra,Circle
New Laptop Microsoft Surface Laptop 3 16GB Intel Core I7,SSD,9800,Brand New,Greater Accra,Burma Camp
Digital Mygica DVB-T2 (T230A) for PC/ Android,Phone/,600,Brand New,Greater Accra,Adabraka
Laptop HP ProBook 640 G1 8GB Intel Core I5,HDD,2500,Used,Ashanti,Kumasi Metropolitan
ASUS,Laptop,150,Brand New,Greater Accra,Circle
Laptop Apple MacBook Air 2015 8GB Intel Core I5,SSD,3000,Used,Greater Accra,Weija
3-in-1 HDMI,Cable,80,Brand New,Greater Accra,Circle
New Laptop HP 15-Dy2075tg 8GB Intel Core I3,SSD,4300,Brand New,Ashanti,Atwima Nwabiagya
Desktop Computer HP 4GB Intel Core I3,HDD,620,Used,Greater Accra,Kasoa
New Gigabyte GA-H110MSTX-HD3-ZK 32GB Intel Core I9,SSD,25900,Brand New,Greater Accra,Darkuman
Laptop HP ProBook 430 G2 8GB Intel Core I5,SSD,2200,Used,Greater Accra,Kasoa
Car Jump Starter +,Tyre,780,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP Pavilion 15 8GB Intel Core I5,HDD,3000,Used,Greater Accra,Adenta
New Laptop Asus ROG Strix G17 16GB Intel Core I7,SSD,14000,Brand New,Greater Accra,Osu
Laptop Bags,Unknown,400,Unknown,Greater Accra,Dansoman
New Laptop Acer Aspire 1300 3GB Intel Celeron,HDD,850,Brand New,Greater Accra,Kokomlemle
New Laptop Microsoft Surface Book 2 16GB Intel Core I7,SSD,8200,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 840 G3 8GB Intel Core I5,SSD,2800,Used,Greater Accra,Dansoman
New Desktop Computer MSI AG220 2PE 96GB Intel Core I9,SSD,57000,Brand New,Greater Accra,Accra Metropolitan
Genuine Original Leather Bag FROM UK HAND AND,SHOULDER,300,Unknown,Greater Accra,Kokomlemle
Samsung F2 Sata,Case,40,Brand New,Greater Accra,Madina
New Laptop HP Pavilion 15 8GB Intel Core I7,SSD,12850,Brand New,Greater Accra,Spintex
New Laptop Dell Alienware M16 R1 16GB Intel Core I7,SSD,23000,Brand New,Greater Accra,Osu
Laptop Lenovo ThinkPad L470 8GB Intel Core I5,HDD,1700,Used,Greater Accra,Tema Metropolitan
Desktop Computer HP 4GB,SSD,2199,Used,Western Region,Takoradi
Se7enline 3in1 Case Bundle for Macbook Pro 15'',A1990,600,Brand New,Greater Accra,Lapaz
Laptop Asus VivoBook Flip 14 TP412UA 8GB Intel Core I5,SSD,3500,Used,Greater Accra,Spintex
Laptop HP EliteBook X360 1030 G2 16GB Intel Core I5,SSD,5000,Used,Greater Accra,Accra Metropolitan
New Desktop Computer Laptop 8GB Intel Core I3,SSD,4599,Brand New,Greater Accra,East Legon
Dell Vostro 1400 Inspiron 1420 XPS,Laptop,280,Brand New,Greater Accra,Circle
Laptop HP Pavilion 15 8GB Intel Core I7,HDD,2500,Used,Greater Accra,Adenta
Laptop Acer Aspire 1551 2GB Intel Celeron,HDD,900,Used,Greater Accra,Circle
Multipurpose Leather,Duffel,400,Unknown,Greater Accra,Accra Metropolitan
16-Inch Notebook Sleeve Computer Pouch,Laptop,450,Unknown,Greater Accra,Madina
New Laptop HP 15-Dy1032wm 8GB Intel Core I5,HDD+SSD,1700,Brand New,Greater Accra,Circle
Samsung Crystal UHD 85inches,Smart,26990,Unknown,Greater Accra,Adenta
Laptop Dell Latitude 7390 8GB Intel Core I5,SSD,3600,Used,Greater Accra,Madina
HP Type Laptop,Charger,250,Brand New,Greater Accra,Ashaiman Municipal
Laptop HP 14z 8GB Intel Core I3,SSD,2850,Used,Greater Accra,Kokomlemle
Study Table /Bedside Laptop,Table/Desk,320,Brand New,Greater Accra,Accra Metropolitan
Quality TCL 2.0 HP Split Air Conditioner,R410,8399,Brand New,Greater Accra,Accra New Town
Laptop Toshiba Satellite C650D 6GB Intel Core I3,HDD,1300,Used,Greater Accra,Lapaz
Laptop Light,Unknown,50,Brand New,Greater Accra,Circle
New Desktop Computer Asus TUF Gaming FX10CP 64GB AMD,Ryzen,11300,Brand New,Greater Accra,Madina
Laptop Dell Latitude 5490 16GB Intel Core I5,SSD,2800,Used,Greater Accra,East Legon
Laptop HP ZBook 15 8GB Intel Core I7,SSD,4200,Used,Greater Accra,Agbogba
Laptop Dell Latitude 7490 8GB Intel Core I5,SSD,3500,Used,Greater Accra,Adabraka
360°,Laptop,300,Brand New,Greater Accra,Accra Metropolitan
Laptop Apple MacBook Pro 16GB Intel Core I7,SSD,8200,Used,Greater Accra,Accra Metropolitan
New Laptop HP EliteBook Folio 1040 G3 16GB Intel Core I5,SSD,3950,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP 14-Dq1025cl 8GB Intel Core I3,SSD,3200,Used,Greater Accra,Adabraka
HP Officejet 202 All-in-One Mobile,Printer,8350,Unknown,Greater Accra,Accra Metropolitan
New Laptop Lenovo ThinkPad X1 Carbon 16GB Intel Core I7,SSD,4600,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 14 E5450 8GB Intel Core I5,HDD,1550,Used,Greater Accra,Accra Metropolitan
220v Car Inverter (Charge 4 Phones and 1 Laptop at,a,299,Brand New,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 15 8GB Intel Core I5,HDD,2100,Used,Greater Accra,Tema Metropolitan
New Desktop Computer Gigabyte GB-BACE-3010 64GB AMD,Ryzen,27700,Brand New,Greater Accra,East Legon
BP02XL Hp,Laptop,450,Brand New,Greater Accra,Circle
Laptop Toshiba 8GB Intel Core I5,SSD,2650,Used,Greater Accra,Adenta
New Laptop HP Stream Notebook 4GB AMD Ryzen,SSD,4700,Brand New,Greater Accra,Accra Metropolitan
Hdmi,2,80,Brand New,Greater Accra,Circle
Laptop HP EliteBook 820 G3 8GB Intel Core I7,HDD,3899,Used,Greater Accra,Sowutwuom
New Desktop Computer MSI Gaming 24 6QE 4K 32GB Intel Core I7,SSD,17899,Brand New,Greater Accra,Darkuman
DELL for Inspiron 1464 1464D 1464R P09G,Laptop,90,Brand New,Western Region,Shama Ahanta East Metropolitan
Laptop Table,Unknown,170,Brand New,Ashanti,Kumasi Metropolitan
Desktop Computer Dell Precision 3000 16GB Intel Xeon,HDD,3000,Used,Ashanti,Kumasi Metropolitan
New Desktop Computer Asus 32GB Intel Core i7,SSD,19700,Brand New,Greater Accra,Dansoman
Laptop HP EliteBook X360 1030 G4 8GB Intel Core I5,SSD,4650,Used,Central Region,Cape Coast Metropolitan
Laptop HP Pavilion Gaming Laptop 15-dk2xxx 8GB AMD Ryzen 5,SSD,6500,Used,Ashanti,Kumasi Metropolitan
Teamgroup M.2 Ms30,1tb,1087,Brand New,Ashanti,Kumasi Metropolitan
Laptop Toshiba Dynabook R634/M 6GB Intel,HDD,1450,Used,Greater Accra,Adenta
Laptop Dell Latitude E7450 8GB Intel,SSD,1550,Used,Greater Accra,Lapaz
Hp,Laptop,150,Used,Ashanti,Kumasi Metropolitan
Pc3l 8gb,Laptop,150,Used,Greater Accra,Accra Metropolitan
New Laptop Lenovo Thinkpad E15 16GB Intel Core I7,SSD,7900,Brand New,Greater Accra,Burma Camp
Asus,402m,350,Brand New,Greater Accra,Tema Metropolitan
Powerology Ultra-Compact 61W PD Gan Charger UK With,Type-C,750,Brand New,Greater Accra,Accra Metropolitan
Laptop Lenovo IdeaPad Z710 16GB Intel Core i7,HDD,2700,Used,Greater Accra,Weija
Laptop HP 250 G6 8GB Intel Core I5,SSD,3200,Used,Greater Accra,Lapaz
New Laptop Lenovo 8GB Intel Core I5,SSD,9200,Brand New,Greater Accra,Dansoman
New Laptop HP EliteBook 850 G8 16GB Intel Core I5,SSD,9500,Brand New,Greater Accra,East Legon
Laptop Acer Aspire E1-572 4GB AMD,HDD,1300,Used,Ashanti,Kumasi Metropolitan
Huawei 4G LTE Mobile Wifi All,SIM,550,Unknown,Greater Accra,Adabraka
Newly Posted Samsung 75 Smart Crystal,UHD,16499,Unknown,Greater Accra,Adabraka
Laptop Dell XPS 13 16GB Intel Core I7,SSD,6499,Used,Greater Accra,Agbogba
Laptop Acer Aspire 1551 4GB Intel Core I3,HDD,1600,Used,Greater Accra,Lapaz
Laptop Apple MacBook Pro 8GB Intel Core I5,SSD,7500,Used,Greater Accra,East Legon
New Laptop HP Envy X360 8GB Intel Core i5,SSD,9600,Brand New,Greater Accra,Accra Metropolitan
Open Type Large Capacity Decompressed Strap,Fashion,320,Unknown,Central Region,Cape Coast Metropolitan
Laptop HP ZBook 15 16GB Intel Core I7,SSD,7450,Used,Greater Accra,Tema Metropolitan
Laptop HP Omen 15 16GB Intel Core I7,SSD,13500,Used,Ashanti,Kumasi Metropolitan
With Remote Control Hone,Theater,749,Brand New,Greater Accra,Adabraka
Laptop Apple MacBook Pro 2020 8GB Intel Core I5,SSD,8900,Used,Greater Accra,East Legon
New Laptop Apple MacBook Pro 2022 M2 8GB Apple M2,SSD,16850,Brand New,Greater Accra,Kokomlemle
New Laptop HP Pavilion 14 8GB Intel Core I7,HDD,3550,Brand New,Ashanti,Kumasi Metropolitan
LDNIO 6 In 1 Type,C,320,Brand New,Greater Accra,Dome
Mobile TV Stand With Shelves on Mobile,Rolling,850,Brand New,Greater Accra,Adabraka
Seagate Firecuda Gaming Dock 4TB External Hard,Drive,2332,Used,Greater Accra,Dworwulu
New Laptop Dell Inspiron 15 16GB Intel Core I5,HDD,7999,Brand New,Greater Accra,East Legon
Laptop Apple MacBook Pro 2019 8GB Intel Core I5,SSD,8700,Used,Greater Accra,Accra Metropolitan
New Desktop Computer HP 290 G4 All-in-One 4GB Intel Core I5,HDD,8343,Brand New,Western Region,Tarkwa Nsuaem
New Desktop Computer MSI Gaming 24 6QE 4K 64GB Intel Core,I5,22700,Brand New,Greater Accra,Weija
New Laptop Lenovo Legion 5 32GB Intel Core I7,SSD,29500,Brand New,Greater Accra,Kaneshie
New Desktop Computer 16GB Intel Core I7,HDD+SSD,12000,Brand New,Greater Accra,Dansoman
Laptop Lenovo ThinkPad T470 8GB Intel Core I5,SSD,2450,Used,Greater Accra,Dansoman
Laptop Dell Inspiron 15 5567 16GB Intel Core I7,SSD,7000,Used,Ashanti,Kumasi Metropolitan
New Laptop Dell 8GB Intel Core I5,SSD,8700,Brand New,Greater Accra,Adabraka
Laptop HP ProBook 430 G6 8GB Intel Core I5,HDD,3900,Used,Greater Accra,Kokomlemle
New Laptop HP EliteBook 840 G7 8GB Intel Core I7,SSD,12500,Brand New,Greater Accra,Tesano
Laptop Lenovo IdeaPad S145 4GB Intel Pentium,SSD,1350,Used,Greater Accra,Ablekuma
Fabulous//Samsung 75 Crystal UHD Smart HDR,4k,11999,Brand New,Greater Accra,Adabraka
New Laptop 4GB Intel Celeron,SSD,2100,Brand New,Greater Accra,East Legon
New Laptop Apple MacBook Pro M1 8GB Apple M1,SSD,15000,Brand New,Greater Accra,Kokomlemle
Dtech Type C to USB,Hub,265,Brand New,Greater Accra,Accra Metropolitan
New Laptop Dell XPS 13 16GB Intel Core I7,SSD,15000,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP Pavilion X360 16GB Intel Core I7,SSD,7600,Used,Greater Accra,Kokomlemle
Laptop Dell Vostro 1710 8GB Intel Core I5,HDD+SSD,6200,Used,Ashanti,Kumasi Metropolitan
Laptop HP ProBook 440 G3 4GB Intel Core I5,HDD+SSD,1600,Used,Ashanti,Kumasi Metropolitan
Laptop Dell Inspiron 11 3169 4GB Intel,HDD,1500,Used,Greater Accra,Circle
Desktop Computer Dell OptiPlex 5050 8GB Intel Core I5,SSD,1750,Used,Greater Accra,Kokomlemle
Laptop HP EliteBook 1040 16GB Intel Core I7,SSD,7000,Used,Ashanti,Kumasi Metropolitan
New Laptop Apple MacBook Pro 2021 M1 16GB Apple M1 Pro,SSD,27000,Brand New,Greater Accra,Kokomlemle
New Laptop Dell Alienware M15 16GB Intel Core I7,SSD,22000,Brand New,Greater Accra,East Legon
256gb,M.2,305,Used,Central Region,Cape Coast Metropolitan
Laptop HP ProBook 11 X360 G2 EE 4GB Intel,SSD,2200,Used,Greater Accra,Kokomlemle
Small Solar,Home,5999,Brand New,Central Region,Cape Coast Metropolitan
Quality JHS,School,110,Unknown,Greater Accra,Accra Metropolitan
Laptop HP EliteBook X360 1030 G3 8GB Intel Core I7,SSD,5300,Used,Greater Accra,Adenta
Premium Laptop Wooden,Office,850,Brand New,Greater Accra,Kaneshie
Laptop Apple MacBook Air 2020 M1 8GB Intel Core I5,SSD,7800,Used,Greater Accra,Circle
Laptop Toshiba Satellite S50 4GB Intel Core I5,HDD,1599,Used,Greater Accra,Adenta
Laptop HP ZBook 14 G2 8GB Intel Core I5,HDD,2500,Used,Greater Accra,Cantonments
Lenovo 00HW020 Laptop Battery for Thinkpad Yoga,460,370,Brand New,Greater Accra,Accra New Town
16gb PC4 Ddr4,Laptop,450,Used,Ashanti,Kumasi Metropolitan
TT03XL Battery for HP Elitebook 755 850 Zbook,15U,399,Brand New,Greater Accra,East Legon
Laptop Apple MacBook Air 2020 M1 8GB Apple M1,SSD,10000,Used,Greater Accra,Accra Metropolitan
Laptop Dell Latitude E6440 8GB Intel Core I5,HDD,2400,Used,Greater Accra,Tema Metropolitan
4G LTE,Wife,200,Unknown,Greater Accra,Circle
Samson Stereo Direct Passive Box,DI,950,Brand New,Greater Accra,Accra Metropolitan
6 in 1 Type-C to Tf/Memory Card Usb3.0 3,Usb2.0,380,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer HP 8GB Intel Core I3,SSD,3150103500,Used,Greater Accra,Accra Metropolitan
Desktop Computer Dell OptiPlex 390 4GB Intel Core I7,HDD,900,Used,Greater Accra,Madina
New Laptop HP 15 8GB Intel Core I3,SSD,4992,Brand New,Ashanti,Kumasi Metropolitan
Laptop Stand,Unknown,99,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell 8GB Intel Core I5,SSD,2250,Used,Greater Accra,Ablekuma
Laptop HP EliteBook 1040 G3 16GB Intel Core I7,SSD,5500,Used,Greater Accra,Kokomlemle
Adjustable Shelf For 32-65 Inch LED LCD OLED Flat,Screen,900,Brand New,Greater Accra,Accra Metropolitan
Hikvision Desire 2.5 Sata SSD,1tb,1000,Brand New,Greater Accra,Lapaz
New Laptop HP 32GB Intel Core I7,SSD,22000,Brand New,Greater Accra,Kokomlemle
"Apple Macbook Air 11""",Case-,200,Brand New,Greater Accra,Osu
All Black Leather Laptop,Safe,550,Unknown,Greater Accra,Accra Metropolitan
Wholesale,Laptop,150,Unknown,Ashanti,Kumasi Metropolitan
Laptop Acer Aspire V3-571g 6GB Intel Core I5,HDD,1500,Used,Ashanti,Kumasi Metropolitan
New Foldable,Laptop,100,Brand New,Greater Accra,Adenta
Original Dell Essential 15.6” Inches,Laptop,170,Brand New,Greater Accra,Accra New Town
New Laptop HP Pavilion 15 8GB Intel Core I3,SSD,4150,Brand New,Greater Accra,Dzorwulu
New Laptop Dell Latitude 7480 8GB Intel Core I7,SSD,4800,Brand New,Greater Accra,Burma Camp
"17"" Password Locker: Quality Laptop",Compartment,260,Unknown,Greater Accra,Accra Metropolitan
New Laptop Dell XPS 13 2-in-1 (9315) 16GB Intel Core I7,SSD,14000,Brand New,Greater Accra,Kokomlemle
JBL Partybox 1000 - High Power Bluetooth,Party,15000,Brand New,Greater Accra,Osu
Acer Aspire 4741,Laptop,200,Brand New,Greater Accra,Circle
DDR4 8gb And 4gb Ram,Laptop,380,Brand New,Greater Accra,Tema Metropolitan
New Desktop Computer MSI Gaming 24GE 2QE 4K 8GB AMD,Ryzen,8000,Brand New,Greater Accra,Achimota
Laptop HP EliteBook 840 G7 16GB Intel Core I5,SSD,6500,Used,Greater Accra,Adenta
60° Rotatable Type-C Gaming Live Streaming,Condenser,780,Brand New,Greater Accra,Spintex
HDMI to VGA Converter,–,40,Brand New,Greater Accra,Kaneshie
Laptop HP EliteBook 840 G3 16GB Intel Core I5,HDD+SSD,2100,Used,Greater Accra,Circle
Laptop Lenovo ThinkPad T460s 8GB Intel Core I7,SSD,2800,Unknown,Greater Accra,Teshie
Desktop Computer HP 8GB Intel Core I5,HDD,780,Used,Greater Accra,Kasoa
Laptop HP EliteBook 840 G3 8GB Intel Core I5,SSD,2800,Used,Greater Accra,Madina
New Desktop Computer Asus M32BF 16GB Intel Core I7,HDD,5500,Brand New,Greater Accra,Accra Metropolitan
"Portable , Foldable Bed",Top,135,Brand New,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 14 E5450 8GB Intel Core I3,HDD,2500,Used,Ashanti,Kumasi Metropolitan
Laptop Apple MacBook Air 2015 8GB Intel Core I5,SSD,3700,Used,Greater Accra,Kokomlemle
4gb Pc4,Ddr4,150,Used,Ashanti,Kumasi Metropolitan
Macbook,Battery,470,Brand New,Greater Accra,Kokomlemle
New Desktop Computer MSI Gaming 24GE 2QE 32GB AMD Ryzen,SSD,18000,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 840 G5 8GB Intel Core I5,SSD,4200,Used,Greater Accra,Tema Metropolitan
Laptop Dell Inspiron 14 8GB Intel Core I5,HDD,2450,Used,Greater Accra,Adenta
Laptop HP EliteBook 840 G6 8GB Intel Core I5,SSD,4650,Used,Greater Accra,Accra Metropolitan
Laptop Lenovo ThinkPad Yoga 370 8GB Intel Core I7,SSD,3900,Used,Ashanti,Kumasi Metropolitan
Laptop Dell Latitude 14 E5470 16GB Intel Core I5,SSD,3450,Used,Central Region,Cape Coast Metropolitan
New Desktop Computer 64GB Intel Core I9,HDD,28500,Brand New,Greater Accra,Dansoman
New Laptop HP 15 12GB Intel Core I5,SSD,8600,Brand New,Greater Accra,Adabraka
Mini Fast Portable Juicer Cup - Blender,USB,150,Brand New,Greater Accra,Accra Metropolitan
New Laptop HP Envy 14 16GB Intel Core I5,SSD,9500,Brand New,Ashanti,Kumasi Metropolitan
Laptop Apple MacBook Pro 16GB Intel Core I7,SSD,4950,Used,Greater Accra,Adenta
Laptop HP ProBook 430 G4 8GB Intel Core I5,SSD,3400,Used,Ashanti,Kumasi Metropolitan
MAITTAO Mac Pro 13'' 3IN1 Bundle for,M1,750,Brand New,Greater Accra,Lapaz
Laptop Apple MacBook Pro 2015 16GB Intel Core I7,SSD,5800,Used,Greater Accra,Accra Metropolitan
Desktop Computer MSI Gaming 24 6QE 16GB Intel Core I7,SSD,5500,Used,Greater Accra,Kokomlemle
Type C to HDMI 3 in,1,150,Brand New,Greater Accra,Accra Metropolitan
Laptop Touchmate TM-NB140P 4GB Intel Celeron,HDD,700,Unknown,Greater Accra,Kokomlemle
Laptop HP EliteBook 840 G6 8GB Intel Core I5,SSD,4100,Used,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 15 8GB Intel Core I5,SSD,3400,Used,Greater Accra,Adabraka
Display Port to HDMI Adapter DP,to,300,Brand New,Greater Accra,East Legon
Decakila Cordless Portable Blender,300ml,220,Brand New,Greater Accra,Accra Metropolitan
New Gigabyte GA-H110MSTX-HD3-ZK 16GB Intel Core I7,HDD+SSD,7500,Brand New,Greater Accra,Odorkor
Hp 807612-422,Laptop,200,Brand New,Greater Accra,Circle
Laptop Stickers,Or,50,Unknown,Greater Accra,East Legon
320gb,Laptop,120,Brand New,Greater Accra,Circle
Laptop Apple MacBook Pro 2019 8GB Intel Core I5,SSD,8500,Used,Greater Accra,Lapaz
Laptop Alienware M17x R2 16GB Intel Core I7,SSD,18500,Used,Greater Accra,Kokomlemle
Desktop Computer Dell OptiPlex 7050 16GB Intel Core I7,HDD,2800,Used,Greater Accra,Kasoa
Seagate Barracuda Hard,Disk,1350,Brand New,Greater Accra,Accra Metropolitan
1TB WD Blue PC Hard Drive HDD,Internal,431,Brand New,Ashanti,Kumasi Metropolitan
New Laptop MSI GF63 8GB Intel Core I5,SSD,11500,Brand New,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 13 4GB Intel Atom,SSD,2150,Used,Greater Accra,Adabraka
Laptop HP Pavilion 15 8GB Intel Core I3,HDD,1500,Unknown,Greater Accra,Kokomlemle
Desktop Computer HP 4GB Intel Core I5,HDD,700,Used,Greater Accra,Adenta
VGA,Cable,23,Brand New,Greater Accra,Haatso
Kids,Play,150,Unknown,Greater Accra,Oyarifa
Laptop Dell Latitude 7490 8GB Intel Core I7,SSD,3000,Used,Greater Accra,Accra Metropolitan
Laptop Adjustable,Table,299,Brand New,Greater Accra,Akweteyman
New Laptop HP EliteBook 745 G5 16GB AMD Ryzen 5,SSD,4000,Brand New,Greater Accra,Circle
New Gigabyte GA-H110MSTX-HD3-ZK 32GB Intel Core I5,SSD,15700,Brand New,Greater Accra,Darkuman
New Laptop Dell Latitude 12 7250 4GB Intel Celeron,SSD,1600,Brand New,Greater Accra,Circle
Laptop Dell Latitude 3420 8GB Intel Core I5,SSD,5500,Unknown,Greater Accra,Achimota
Hsdpa Modem,Unknown,119,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 840 G2 8GB Intel Core I5,HDD,2500,Used,Greater Accra,McCarthy Hill
Laptop Dell Inspiron 15 8GB Intel Core I3,HDD,1750,Used,Greater Accra,Adenta
New Laptop HP Pavilion 15 8GB Intel Core I7,SSD,8200,Brand New,Greater Accra,Dansoman
New Desktop Computer HP 4GB Intel Core I3,HDD,6500,Brand New,Greater Accra,Kokomlemle
Laptop HP Probook 11 EE G1 4GB Intel Core I3,HDD,1550,Used,Greater Accra,Circle
Laptop Asus TUF Gaming FX504 16GB Intel Core I5,SSD,8200,Used,Greater Accra,Awoshie
New Desktop Computer Asus ROG Strix GL12 8GB AMD,Ryzen,14800,Brand New,Greater Accra,Madina
Cooler Master Ltd Double Fan Cooling Pad,With,140,Brand New,Greater Accra,East Legon
JBL Cinema SB170 2.1,Channel,3900,Brand New,Greater Accra,Accra Metropolitan
Case Logic ANR 317 Roller Bag,for,500,Unknown,Greater Accra,Accra Metropolitan
Laptop HP Pavilion G6 8GB Intel Core I5,HDD,1950,Used,Greater Accra,Tema Metropolitan
Laptop HP ProBook 440 G1 8GB Intel Core I5,SSD,2000,Used,Greater Accra,Adabraka
New Gigabyte GB-BKi5HA-7200 32GB Intel Core I9,HDD+SSD,25950,Brand New,Greater Accra,Darkuman
Dell 4P8PH Laptop Battery for Inspiron 15 7000,7537,400,Brand New,Greater Accra,Accra New Town
Laptop Dell XPS 15 (L502X) 6GB Intel Core I5,HDD,2000,Used,Ashanti,Kumasi Metropolitan
Laptop Lenovo 4GB Intel Core I3,HDD,1700,Used,Greater Accra,Tema Metropolitan
